round,trial,ymaze,lobster,side-A,side-B,date,start-time,end-time,first-choice,final-choice,residency-A,residency-B,residency-Other,Total,Useable data
12,68,2,70A,structure,blank,19/03/2022,13:49,14:04,blank,structure,,,,0,1
12,69,3,68A,blank,scent,19/03/2022,13:49,14:04,blank,scent,,,,0,1
12,70,4,69A,st/sc,blank,19/03/2022,13:50,14:05,blank,st/sc,,,,0,1
12,71,5,71A,structure,scent,19/03/2022,13:52,14:07,structure,structure,,,,0,1
12,72,6,67A,st/sc,structure,19/03/2022,13:53,14:08,st/sc,NA,,,,0,1
13,73,1,38B,blank,structure,21/03/2022,8:51,9:06,structure,structure,,,,0,1
13,74,2,40B,scent,blank,21/03/2022,8:51,9:06,scent,blank,,,,0,1
13,75,3,41B,blank,st/sc,21/03/2022,8:52,9:07,st/sc,st/sc,,,,0,1
13,76,4,42B,scent,structure,21/03/2022,8:53,9:08,structure,structure,,,,0,1
13,77,5,37B,structure,st/sc,21/03/2022,8:54,9:09,structure,structure,,,,0,1
13,78,6,39B,st/sc,scent,21/03/2022,8:55,9:10,st/sc,st/sc,,,,0,1
14,79,1,47B,blank,scent,21/03/2022,10:00,10:15,scent,scent,,,,0,1
14,80,2,46B,st/sc,blank,21/03/2022,10:00,10:15,st/sc,st/sc,,,,0,1
14,81,3,48B,structure,scent,21/03/2022,10:01,10:16,scent,NA,,,,0,1
14,82,4,44B,st/sc,structure,21/03/2022,10:02,10:17,st/sc,st/sc,,,,0,1
14,83,5,43B,scent,st/sc,21/03/2022,10:02,10:17,scent,NA,,,,0,1
14,84,6,45B,structure,blank,21/03/2022,10:03,10:18,structure,structure,,,,0,1
15,85,1,54B,st/sc,blank,21/03/2022,11:04,11:19,st/sc,st/sc,,,,0,1
15,86,2,51B,structure,scent,21/03/2022,11:05,11:20,structure,structure,,,,0,1
15,87,3,49B,st/sc,structure,21/03/2022,11:05,11:20,st/sc,structure,,,,0,1
15,88,4,52B,scent,st/sc,21/03/2022,11:07,11:22,scent,scent,,,,0,1
15,89,5,50B,structure,blank,21/03/2022,11:07,11:22,blank,blank,,,,0,1
15,90,6,53B,blank,scent,21/03/2022,11:08,11:23,scent,scent,,,,0,1
16,91,1,59B,scent,structure,21/03/2022,12:24,12:39,structure,structure,,,,0,1
16,92,2,57B,structure,st/sc,21/03/2022,12:24,12:39,structure,structure,,,,0,1
16,93,3,56B,st/sc,scent,21/03/2022,12:25,12:40,scent,st/sc,,,,0,1
16,94,4,58B,blank,structure,21/03/2022,12:25,12:40,blank,structure,,,,0,1
16,95,5,60B,scent,blank,21/03/2022,12:26,12:41,blank,scent,,,,0,1
16,96,6,55B,blank,st/sc,21/03/2022,12:26,12:41,st/sc,st/sc,,,,0,1
17,97,1,76A,st/sc,structure,22/03/2022,9:07,9:22,structure,structure,,,,0,1
17,98,2,77A,scent,st/sc,22/03/2022,9:07,9:22,st/sc,st/sc,,,,0,1
17,99,3,73A,structure,blank,22/03/2022,9:08,9:23,blank,structure,,,,0,1
17,100,4,75A,blank,scent,22/03/2022,9:09,9:24,NA,NA,NA,NA,NA,#VALUE!,0
17,101,5,78A,st/sc,blank,22/03/2022,9:10,9:25,blank,st/sc,,,,0,1
17,102,6,74A,structure,scent,22/03/2022,9:10,9:25,structure,structure,,,,0,1
18,103,1,83A,st/sc,scent,22/03/2022,10:15,10:30,st/sc,st/sc,,,,0,1
18,104,2,80A,blank,structure,22/03/2022,10:15,10:30,structure,structure,,,,0,1
18,105,3,79A,scent,blank,22/03/2022,10:15,10:30,scent,NA,,,,0,1
18,106,4,82A,blank,st/sc,22/03/2022,10:16,10:31,st/sc,st/sc,,,,0,1
18,107,5,84A,scent,structure,22/03/2022,10:17,10:32,scent,NA,,,,0,1
18,108,6,81A,structure,st/sc,22/03/2022,10:17,10:32,st/sc,st/sc,,,,0,1
19,109,1,90A,structure,blank,22/03/2022,11:43,11:58,structure,structure,,,,0,1
19,110,2,89A,blank,scent,22/03/2022,11:44,11:59,blank,NA,,,,0,1
19,111,3,86A,st/sc,blank,22/03/2022,11:45,12:00,st/sc,st/sc,,,,0,1
19,112,4,87A,structure,scent,22/03/2022,11:46,12:01,scent,structure,,,,0,1
19,113,5,88A,st/sc,structure,22/03/2022,11:47,12:02,structure,st/sc,,,,0,1
19,114,6,85A,scent,st/sc,22/03/2022,11:47,12:02,st/sc,st/sc,,,,0,1
20,115,1,94A,scent,blank,22/03/2022,12:47,13:02,scent,scent,,,,0,1
20,116,2,96A,blank,st/sc,22/03/2022,12:48,13:03,st/sc,st/sc,,,,0,1
20,117,3,92A,scent,structure,22/03/2022,12:49,13:04,scent,NA,,,,0,1
20,118,4,95A,structure,st/sc,22/03/2022,12:49,13:04,structure,structure,,,,0,1
20,119,5,91A,st/sc,scent,22/03/2022,12:50,13:05,st/sc,scent,,,,0,1
20,120,6,93A,blank,structure,22/03/2022,12:51,13:06,structure,structure,,,,0,1
21,121,1,78B,blank,st/sc,23/03/2022,9:33,9:48,blank,st/sc,,,,0,1
21,122,2,74B,scent,structure,23/03/2022,9:33,9:48,scent,structure,,,,0,1
21,123,3,75B,structure,st/sc,23/03/2022,9:34,9:49,structure,structure,,,,0,1
21,124,4,73B,st/sc,scent,23/03/2022,9:35,9:50,st/sc,st/sc,,,,0,1
21,125,5,76B,blank,structure,23/03/2022,9:35,9:50,structure,structure,,,,0,1
21,126,6,77B,scent,blank,23/03/2022,9:36,9:51,scent,blank,,,,0,1
22,127,1,80B,structure,scent,23/03/2022,10:42,10:57,scent,NA,,,,0,1
22,128,2,83B,st/sc,structure,23/03/2022,10:42,10:57,st/sc,st/sc,,,,0,1
22,129,3,79B,scent,st/sc,23/03/2022,10:44,10:59,st/sc,st/sc,,,,0,1
22,130,4,82B,structure,blank,23/03/2022,10:47,11:02,blank,structure,,,,0,1
22,131,5,81B,blank,scent,23/03/2022,10:48,11:03,scent,blank,,,,0,1
22,132,6,84B,st/sc,blank,23/03/2022,10:49,11:04,st/sc,NA,,,,0,1
