round,trial,ymaze,lobster,density-A,density-B,date,start-time,end-time,first-choice,final-choice,residency-A,residency-B,residency-Other,Total,Useable data
12,72,6,34B,1,11,24/02/2022,15:20,15:50,11,11,0,1800,0,1800,1
13,73,1,39A,32,5,24/02/2022,16:26,16:56,32,32,1352,123,325,1800,1
13,74,2,37A,11,32,24/02/2022,16:28,16:58,32,32,0,1738,62,1800,1
13,75,3,40A,2,32,24/02/2022,16:30,17:00,32,32,0,1778,22,1800,1
13,76,4,41A,32,0,24/02/2022,16:32,17:02,0,0,0,1614,186,1800,1
13,77,5,38A,1,0,24/02/2022,16:33,17:03,1,NA,529,39,1232,1800,1
13,78,6,42A,1,2,24/02/2022,16:37,17:07,1,1,1551,0,249,1800,1
14,79,1,46A,1,0,26/02/2022,8:21,8:51,0,0,50,996,754,1800,1
14,80,2,48A,32,11,26/02/2022,8:22,8:52,11,32,1149,299,352,1800,1
14,81,3,47A,2,1,26/02/2022,8:23,8:53,2,NA,1100,210,490,1800,1
14,82,4,45A,0,11,26/02/2022,8:25,8:55,0,NA,395,50,1355,1800,1
14,83,5,43A,5,32,26/02/2022,8:26,8:56,32,5,995,758,47,1800,1
14,84,6,44A,32,0,26/02/2022,8:27,8:57,0,32,1370,281,149,1800,1
15,85,1,49A,5,0,26/02/2022,9:31,10:01,5,NA,146,674,980,1800,1
15,86,2,52A,5,11,26/02/2022,9:32,10:02,11,11,263,1135,402,1800,1
15,87,3,54A,0,32,26/02/2022,9:34,10:04,32,0,328,1291,181,1800,1
15,88,4,50A,32,2,26/02/2022,9:36,10:06,32,32,1562,104,134,1800,1
15,89,5,51A,0,2,26/02/2022,9:37,10:07,0,NA,1139,352,309,1800,1
15,90,6,53A,32,11,26/02/2022,9:38,10:08,32,32,1612,0,188,1800,1
16,91,1,60A,11,1,26/02/2022,10:44,11:14,11,11,1138,98,564,1800,1
16,92,2,58A,2,11,26/02/2022,10:45,11:15,11,11,0,1783,17,1800,1
16,93,3,59A,32,1,26/02/2022,10:48,11:18,32,32,1800,0,0,1800,1
16,94,4,57A,1,5,26/02/2022,10:49,11:19,5,5,0,1651,149,1800,1
16,95,5,56A,2,5,26/02/2022,10:50,11:20,5,NA,0,910,890,1800,1
16,96,6,55A,5,32,26/02/2022,10:52,11:22,32,32,0,1687,113,1800,1
17,97,1,63A,2,32,26/02/2022,12:00,12:30,32,2,393,1339,68,1800,1
17,98,2,67A,5,32,26/02/2022,12:02,12:32,32,32,NA,NA,NA,#VALUE!,0
17,99,3,64A,0,11,26/02/2022,12:03,12:33,0,0,1620,0,180,1800,1
17,100,4,62A,1,11,26/02/2022,12:05,12:35,11,1,335,5,1460,1800,1
17,101,5,65A,5,0,26/02/2022,12:07,12:37,0,0,274,797,729,1800,1
17,102,6,61A,2,0,26/02/2022,12:08,12:38,2,0,710,846,244,1800,1
18,103,1,69A,32,11,26/02/2022,13:32,14:02,32,32,1787,0,13,1800,1
18,104,2,70A,5,1,26/02/2022,13:33,14:03,5,5,1675,61,64,1800,1
